analysis_level,metric,real_n,real_mean,real_median,real_standard_deviation,synthetic_n,synthetic_mean,synthetic_median,synthetic_standard_deviation,mean_difference_synthetic_minus_real,bootstrap_95_ci_low,bootstrap_95_ci_high,permutation_p_value_two_sided,hedges_g
judgment,citation_mentions,34,1.8529411764705883,2.0,0.6574677289546277,25,2.08,2.0,0.7023769168568492,0.22705882352941176,-0.11176470588235299,0.5741176470588234,0.24877502449951,0.3310842870619476
judgment,strict_defect_rate,34,0.05392156862745098,0.0,0.15198234566143215,25,0.13,0.0,0.31556827047935815,0.07607843137254902,-0.04411764705882353,0.22019607843137257,0.2719345613087738,0.31923498090267444
judgment,incorrect_rate,34,0.029411764705882353,0.0,0.11941628680530642,25,0.04,0.0,0.2,0.010588235294117648,-0.058823529411764705,0.10529411764705882,1.0,0.06595167775245514
input_record,mean_citations_per_judgment,17,1.85,2.0,0.45437686267385285,17,2.088235294117647,2.0,0.6900021312840059,0.2382352941176471,-0.1284313725490196,0.6254901960784311,0.25621487570248597,0.39816973080935547
input_record,strict_defect_rate,17,0.040221543162719635,0.0,0.08049475642494697,17,0.19117647058823528,0.0,0.3700655744753418,0.15095492742551564,-0.007868601986249044,0.3367838044308633,0.11881762364752704,0.5503809360906006
input_record,incorrect_rate,17,0.013750954927425516,0.0,0.039888999996200374,17,0.058823529411764705,0.0,0.24253562503633297,0.04507257448433919,-0.029793735676088617,0.17112299465240643,1.0,0.25320609356587337
