draft_id,case_doc_id,input_type,citation_mentions,correct_mentions,incomplete_mentions,incorrect_mentions,strict_defect_mentions,strict_defect_rate,incorrect_rate
cmmmudwct000304kzc6d15a3r,skeleton-args-ca2021006069-a7200646d94c4a22,synthetic,2,2,0,0,0,0.0,0.0
cmst7uoeu00d804l5ayb3b9q8,skeleton-args-ca2022000651-1294462417e10289,synthetic,4,1,3,0,3,0.75,0.0
cmlzpblc7000304jv62ixuvp8,skeleton-args-ca2022002088-9a827e5fc9cfa270,synthetic,3,3,0,0,0,0.0,0.0
cmmc2zaji000h04l23a3cp61p,skeleton-args-ca2022002088-9a827e5fc9cfa270,synthetic,2,2,0,0,0,0.0,0.0
cmst80ckg000h04i9rasplurj,skeleton-args-ca2022004921-cb64a3102cee5019,synthetic,2,2,0,0,0,0.0,0.0
cmlzphr57000h04jtqrwbfiyf,skeleton-args-ca2022008247-6c5b4a1058f7a82b,synthetic,2,2,0,0,0,0.0,0.0
cmlzrzxca000304l2qk1vevzx,skeleton-args-ca2023002207-ce0aafdf6d7e5716,synthetic,2,2,0,0,0,0.0,0.0
cmmdjqxh3000304kvs37yorn3,skeleton-args-ca2023004634-299a4a730fe1f43a,synthetic,2,2,0,0,0,0.0,0.0
cmmdkjytd000304jl24cdxqvp,skeleton-args-ca2023004634-299a4a730fe1f43a,synthetic,3,3,0,0,0,0.0,0.0
cmmls2r93000304jme0bpsul9,skeleton-args-ca2023004634-299a4a730fe1f43a,synthetic,1,1,0,0,0,0.0,0.0
cmlzy9ss300fz04i80p2yfbg1,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,3,3,0,0,0,0.0,0.0
cmm0k3nj8000h04l412ruhfxj,skeleton-args-ca2024001234-346b2d683b5c2099,synthetic,2,2,0,0,0,0.0,0.0
cmst49zw4001104l7neqlaa0v,skeleton-args-ca2024009268-0b828a88e0027426,synthetic,2,2,0,0,0,0.0,0.0
cmm3b1g6j000j04jt8w2u9z6w,skeleton-args-ca2025000412-e17d5e10793fe216,synthetic,2,2,0,0,0,0.0,0.0
cmmafut12000904l4kjskwky4,skeleton-args-ca2025000412-e17d5e10793fe216,synthetic,1,1,0,0,0,0.0,0.0
cmst4fdgx001l04l7p4wrw7w7,skeleton-args-ca2025001247-4e7222cd1e12236a,synthetic,2,0,0,2,2,1.0,1.0
